model,class,fpr,tpr,auc
ESN,C,0.0,0.0,0.9066666666666667
ESN,C,0.0,0.06666666666666667,0.9066666666666667
ESN,C,0.0,0.6,0.9066666666666667
ESN,C,0.03333333333333333,0.6,0.9066666666666667
ESN,C,0.03333333333333333,0.8,0.9066666666666667
ESN,C,0.16666666666666666,0.8,0.9066666666666667
ESN,C,0.16666666666666666,0.8666666666666667,0.9066666666666667
ESN,C,0.4,0.8666666666666667,0.9066666666666667
ESN,C,0.4,0.9333333333333333,0.9066666666666667
ESN,C,0.7333333333333333,0.9333333333333333,0.9066666666666667
ESN,C,0.7333333333333333,1.0,0.9066666666666667
ESN,C,1.0,1.0,0.9066666666666667
ESN,D,0.0,0.0,0.9777777777777777
ESN,D,0.0,0.06666666666666667,0.9777777777777777
ESN,D,0.0,0.3333333333333333,0.9777777777777777
ESN,D,0.03333333333333333,0.3333333333333333,0.9777777777777777
ESN,D,0.03333333333333333,1.0,0.9777777777777777
ESN,D,1.0,1.0,0.9777777777777777
ESN,S,0.0,0.0,0.9911111111111112
ESN,S,0.0,0.06666666666666667,0.9911111111111112
ESN,S,0.0,0.7333333333333333,0.9911111111111112
ESN,S,0.03333333333333333,0.7333333333333333,0.9911111111111112
ESN,S,0.03333333333333333,1.0,0.9911111111111112
ESN,S,1.0,1.0,0.9911111111111112
